dataset,model,technique,accuracy,precision,recall,f1_score,parse_failure_rate,n_samples,timestamp
ag_news,gemma3:12b,zero_shot,0.8366666666666667,0.8690275927159672,0.8366666666666667,0.829821995197751,0.0,300,2025-12-03T18:20:39.334882
ag_news,gemma3:12b,few_shot_3,0.8533333333333334,0.8702146537672855,0.8533333333333333,0.852458882310482,0.0,300,2025-12-03T18:22:13.415113
ag_news,gemma3:12b,few_shot_5,0.8866666666666667,0.8879463010477348,0.8866666666666667,0.8863695013151125,0.0,300,2025-12-03T18:23:48.216698
ag_news,gemma3:12b,chain_of_thought,0.4533333333333333,0.8284518828451883,0.45333333333333337,0.36942675159235666,0.0,300,2025-12-03T18:31:52.965645
ag_news,gemma3:12b,zero_shot_enriched,0.8433333333333334,0.8640466614772531,0.8433333333333333,0.8399657683765992,0.0,300,2025-12-03T18:33:25.665964
ag_news,gemma3:12b,few_shot_3_enriched,0.87,0.8720996287662955,0.87,0.8698215718365906,0.0,300,2025-12-03T18:35:00.183288
ag_news,gemma3:12b,few_shot_5_enriched,0.89,0.8897035201640464,0.8899999999999999,0.8897135637106011,0.0,300,2025-12-03T18:36:36.022391
ag_news,gemma3:12b,chain_of_thought_enriched,0.74,0.8401816418547317,0.74,0.7480726279988565,0.02,300,2025-12-03T18:44:36.885279
ag_news,llama3.2:1b,zero_shot,0.5166666666666667,0.6356722557135993,0.5166666666666667,0.6048393837880902,0.006666666666666667,300,2025-12-03T18:45:21.480674
ag_news,llama3.2:1b,few_shot_3,0.37666666666666665,0.713324097755044,0.3766666666666667,0.313378242416108,0.043333333333333335,300,2025-12-03T18:46:07.890183
ag_news,llama3.2:1b,few_shot_5,0.29333333333333333,0.5059523809523809,0.29333333333333333,0.24159716351179306,0.006666666666666667,300,2025-12-03T18:46:57.425531
ag_news,llama3.2:1b,chain_of_thought,0.3,0.5676895306859207,0.30000000000000004,0.19549960429320895,0.013333333333333334,300,2025-12-03T18:49:08.170275
ag_news,llama3.2:1b,zero_shot_enriched,0.51,0.6860342722411689,0.51,0.6078084900500653,0.0,300,2025-12-03T18:49:50.699670
ag_news,llama3.2:1b,few_shot_3_enriched,0.24666666666666667,0.48304498269896196,0.24666666666666665,0.1489733950260266,0.016666666666666666,300,2025-12-03T18:50:44.510337
ag_news,llama3.2:1b,few_shot_5_enriched,0.25333333333333335,0.41779279279279286,0.25333333333333335,0.21531422896864805,0.0033333333333333335,300,2025-12-03T18:51:39.702588
ag_news,llama3.2:1b,chain_of_thought_enriched,0.43333333333333335,0.5794117647058823,0.43333333333333335,0.4086953528328565,0.03666666666666667,300,2025-12-03T18:54:19.108777
ag_news,gpt-oss:20b,zero_shot,0.6333333333333333,0.9209208683473389,0.6333333333333333,0.7284296774754789,0.30333333333333334,300,2025-12-03T18:58:34.974200
ag_news,gpt-oss:20b,few_shot_3,0.5666666666666667,0.9039933816631796,0.5666666666666667,0.6737451074024319,0.37666666666666665,300,2025-12-03T19:02:51.755919
ag_news,gpt-oss:20b,few_shot_5,0.5266666666666666,0.9147321428571429,0.5266666666666666,0.6422232591352955,0.42,300,2025-12-03T19:07:16.912814
ag_news,gpt-oss:20b,chain_of_thought,0.6066666666666667,0.92531328320802,0.6066666666666666,0.7102403343782654,0.3433333333333333,300,2025-12-03T19:11:29.608644
ag_news,gpt-oss:20b,zero_shot_enriched,0.65,0.904745220089007,0.65,0.7357109702737265,0.27,300,2025-12-03T19:15:29.496461
ag_news,gpt-oss:20b,few_shot_3_enriched,0.5933333333333334,0.9141331080325741,0.5933333333333333,0.6946715152378014,0.35,300,2025-12-03T19:19:45.860078
ag_news,gpt-oss:20b,few_shot_5_enriched,0.56,0.9050099206349207,0.56,0.670793705516292,0.38,300,2025-12-03T19:24:11.689449
ag_news,gpt-oss:20b,chain_of_thought_enriched,0.67,0.9239415169052696,0.67,0.7620385193466315,0.26666666666666666,300,2025-12-03T19:28:06.567053
bbc_news,gemma3:12b,zero_shot,0.93,0.93890675092705,0.9212747530774097,0.9262396079985014,0.0,300,2025-12-03T19:29:48.424765
bbc_news,gemma3:12b,few_shot_3,0.9433333333333334,0.9439231179382924,0.9403396097893252,0.941319463783976,0.0,300,2025-12-03T19:31:26.989939
