dataset,model,technique,accuracy,precision,recall,f1_score,parse_failure_rate,n_samples,timestamp
ag_news,gemma3:12b,zero_shot,0.7833333333333333,0.8147804113264545,0.8033446814243668,0.7724037109035449,0.0,300,2025-12-03T18:08:34.809084
ag_news,gemma3:12b,few_shot_3,0.8066666666666666,0.8262646591134963,0.821596349956473,0.7985359832993034,0.0,300,2025-12-03T18:10:08.747439
ag_news,gemma3:12b,few_shot_5,0.86,0.8571146475909139,0.8668888094349791,0.8515809634226739,0.0,300,2025-12-03T18:11:44.296979
