dataset,model,chain_of_thought,chain_of_thought_enriched,few_shot_3,few_shot_3_enriched,few_shot_5,few_shot_5_enriched,zero_shot,zero_shot_enriched
20newsgroups,gemma3:12b,0.6951,0.7097,0.7276,0.716,0.7398,0.6901,0.7226,0.7259
20newsgroups,gpt-oss:20b,0.9231,0.9639,0.9062,0.9578,0.8718,0.9781,0.9872,0.9859
20newsgroups,llama3.2:1b,0.2526,0.3141,0.3389,0.2616,0.1272,0.3367,0.2684,0.23
ag_news,gemma3:12b,0.8285,0.8084,0.8594,0.8613,0.868,0.8679,0.869,0.8661
ag_news,gpt-oss:20b,0.9238,0.9281,0.9065,0.9256,0.9213,0.9002,0.9198,0.9189
ag_news,llama3.2:1b,0.5677,0.6398,0.6808,0.684,0.718,0.7273,0.6357,0.6877
bbc_news,gemma3:12b,0.747,0.8428,0.9399,0.954,0.9587,0.9584,0.9389,0.9581
bbc_news,gpt-oss:20b,0.973,0.9703,0.9573,0.981,0.9708,0.9707,0.9707,0.9706
bbc_news,llama3.2:1b,0.7071,0.6967,0.8946,0.7432,0.8787,0.8059,0.8437,0.621
